warehouse_id,warehouse_name,customer_id,customer_name,transport_mode,distance_km,cost_per_unit,delivery_time_days,co2_per_unit,capacity_limit,reliability
W4,Mumbai Gateway,C4,Berlin Outlet,Road,6286.15,942.92,7.86,1571.54,1500,0.9
W4,Mumbai Gateway,C4,Berlin Outlet,Rail,6286.15,754.34,10.48,1131.51,3000,0.88
W4,Mumbai Gateway,C5,Dubai Market,Air,1935.09,483.77,0.24,870.79,2000,0.95
W4,Mumbai Gateway,C5,Dubai Market,Sea,1935.09,154.81,3.87,232.21,8000,0.85
W4,Mumbai Gateway,C5,Dubai Market,Road,1935.09,290.26,2.42,483.77,1500,0.9
W4,Mumbai Gateway,C5,Dubai Market,Rail,1935.09,232.21,3.23,348.32,3000,0.88
W4,Mumbai Gateway,C6,Mexico Store,Air,15645.37,3911.34,1.96,7040.42,2000,0.95
W4,Mumbai Gateway,C6,Mexico Store,Sea,15645.37,1251.63,31.29,1877.44,8000,0.85
W4,Mumbai Gateway,C6,Mexico Store,Road,15645.37,2346.81,19.56,3911.34,1500,0.9
W4,Mumbai Gateway,C6,Mexico Store,Rail,15645.37,1877.44,26.08,2816.17,3000,0.88
W4,Mumbai Gateway,C7,Toronto Branch,Air,12488.26,3122.07,1.56,5619.72,2000,0.95
W4,Mumbai Gateway,C7,Toronto Branch,Sea,12488.26,999.06,24.98,1498.59,8000,0.85
W4,Mumbai Gateway,C7,Toronto Branch,Road,12488.26,1873.24,15.61,3122.07,1500,0.9
W4,Mumbai Gateway,C7,Toronto Branch,Rail,12488.26,1498.59,20.81,2247.89,3000,0.88
W4,Mumbai Gateway,C8,São Paulo Hub,Air,13774.01,3443.5,1.72,6198.3,2000,0.95
W4,Mumbai Gateway,C8,São Paulo Hub,Sea,13774.01,1101.92,27.55,1652.88,8000,0.85
W4,Mumbai Gateway,C8,São Paulo Hub,Road,13774.01,2066.1,17.22,3443.5,1500,0.9
W4,Mumbai Gateway,C8,São Paulo Hub,Rail,13774.01,1652.88,22.96,2479.32,3000,0.88
W5,Los Angeles Depot,C1,London Store,Air,8755.6,2188.9,1.09,3940.02,2000,0.95
W5,Los Angeles Depot,C1,London Store,Sea,8755.6,700.45,17.51,1050.67,8000,0.85
W5,Los Angeles Depot,C1,London Store,Road,8755.6,1313.34,10.94,2188.9,1500,0.9
W5,Los Angeles Depot,C1,London Store,Rail,8755.6,1050.67,14.59,1576.01,3000,0.88
W5,Los Angeles Depot,C2,Tokyo Retail,Air,8819.39,2204.85,1.1,3968.73,2000,0.95
W5,Los Angeles Depot,C2,Tokyo Retail,Sea,8819.39,705.55,17.64,1058.33,8000,0.85
W5,Los Angeles Depot,C2,Tokyo Retail,Road,8819.39,1322.91,11.02,2204.85,1500,0.9
W5,Los Angeles Depot,C2,Tokyo Retail,Rail,8819.39,1058.33,14.7,1587.49,3000,0.88
W5,Los Angeles Depot,C3,Sydney Branch,Air,12073.51,3018.38,1.51,5433.08,2000,0.95
W5,Los Angeles Depot,C3,Sydney Branch,Sea,12073.51,965.88,24.15,1448.82,8000,0.85
W5,Los Angeles Depot,C3,Sydney Branch,Road,12073.51,1811.03,15.09,3018.38,1500,0.9
W5,Los Angeles Depot,C3,Sydney Branch,Rail,12073.51,1448.82,20.12,2173.23,3000,0.88
W5,Los Angeles Depot,C4,Berlin Outlet,Air,9309.68,2327.42,1.16,4189.35,2000,0.95
W5,Los Angeles Depot,C4,Berlin Outlet,Sea,9309.68,744.77,18.62,1117.16,8000,0.85
W5,Los Angeles Depot,C4,Berlin Outlet,Road,9309.68,1396.45,11.64,2327.42,1500,0.9
W5,Los Angeles Depot,C4,Berlin Outlet,Rail,9309.68,1117.16,15.52,1675.74,3000,0.88
W5,Los Angeles Depot,C5,Dubai Market,Air,13390.51,3347.63,1.67,6025.73,2000,0.95
W5,Los Angeles Depot,C5,Dubai Market,Sea,13390.51,1071.24,26.78,1606.86,8000,0.85
W5,Los Angeles Depot,C5,Dubai Market,Road,13390.51,2008.58,16.74,3347.63,1500,0.9
W5,Los Angeles Depot,C5,Dubai Market,Rail,13390.51,1606.86,22.32,2410.29,3000,0.88
W5,Los Angeles Depot,C6,Mexico Store,Air,2490.48,622.62,0.31,1120.72,2000,0.95
W5,Los Angeles Depot,C6,Mexico Store,Sea,2490.48,199.24,4.98,298.86,8000,0.85
W5,Los Angeles Depot,C6,Mexico Store,Road,2490.48,373.57,3.11,622.62,1500,0.9
W5,Los Angeles Depot,C6,Mexico Store,Rail,2490.48,298.86,4.15,448.29,3000,0.88
W5,Los Angeles Depot,C7,Toronto Branch,Air,3494.38,873.59,0.44,1572.47,2000,0.95
W5,Los Angeles Depot,C7,Toronto Branch,Sea,3494.38,279.55,6.99,419.33,8000,0.85
W5,Los Angeles Depot,C7,Toronto Branch,Road,3494.38,524.16,4.37,873.59,1500,0.9
W5,Los Angeles Depot,C7,Toronto Branch,Rail,3494.38,419.33,5.82,628.99,3000,0.88
W5,Los Angeles Depot,C8,São Paulo Hub,Air,9906.37,2476.59,1.24,4457.87,2000,0.95
W5,Los Angeles Depot,C8,São Paulo Hub,Sea,9906.37,792.51,19.81,1188.76,8000,0.85
W5,Los Angeles Depot,C8,São Paulo Hub,Road,9906.37,1485.96,12.38,2476.59,1500,0.9
W5,Los Angeles Depot,C8,São Paulo Hub,Rail,9906.37,1188.76,16.51,1783.15,3000,0.88
